Source, Target, Weight
魏婴, 蓝湛, 2246
魏婴, 江澄, 620
魏婴, 温宁, 368
金光瑶, 聂明玦, 307
魏婴, 金凌, 291
魏婴, 金光瑶, 278
蓝湛, 江澄, 257
金光瑶, 蓝曦臣, 239
魏婴, 蓝曦臣, 163
金凌, 江澄, 148
蓝湛, 蓝曦臣, 145
薛洋, 晓星尘, 140
蓝湛, 温宁, 135
金凌, 蓝湛, 130
魏婴, 聂明玦, 124
阿箐, 晓星尘, 124
金光瑶, 蓝湛, 114
蓝曦臣, 聂明玦, 102
阿箐, 薛洋, 101
温宁, 江澄, 94
魏婴, 蓝启仁, 90
蓝湛, 蓝思追, 87
魏婴, 蓝思追, 85
金光瑶, 金光善, 84
魏婴, 薛洋, 81
金凌, 金光瑶, 72
蓝湛, 蓝启仁, 71
聂明玦, 聂怀桑, 67
魏婴, 晓星尘, 66
金光瑶, 聂怀桑, 66
魏婴, 温晁, 61
金光瑶, 薛洋, 61
金凌, 温宁, 60
金光瑶, 江澄, 56
魏婴, 聂怀桑, 50
晓星尘, 宋岚, 47
魏婴, 金光善, 46
蓝曦臣, 聂怀桑, 46
魏婴, 阿箐, 45
蓝湛, 聂明玦, 45
薛洋, 宋岚, 44
蓝湛, 蓝景仪, 40
王灵娇, 温晁, 38
蓝景仪, 蓝思追, 37
金凌, 蓝思追, 35
薛洋, 蓝湛, 34
蓝湛, 聂怀桑, 33
温晁, 江澄, 32
魏婴, 蓝景仪, 30
蓝启仁, 江澄, 30
薛洋, 聂明玦, 30
蓝思追, 温宁, 28
魏婴, 宋岚, 27
金凌, 蓝曦臣, 26
蓝曦臣, 江澄, 22
金光善, 江澄, 21
王灵娇, 江澄, 21
温宁, 宋岚, 20
蓝湛, 温晁, 19
金光瑶, 晓星尘, 17
阿箐, 宋岚, 17
金光善, 聂明玦, 16
蓝湛, 宋岚, 14
魏婴, 王灵娇, 13
蓝曦臣, 蓝启仁, 13
聂怀桑, 江澄, 13
聂明玦, 江澄, 13
金光善, 薛洋, 12
金光瑶, 温宁, 12
聂明玦, 温宁, 12
金凌, 蓝景仪, 11
