id,size(byte),标题,出现次数最多的词语,弱智,出院,为什么,水,经验,鸡,意义,问题,人类,地球,太阳,原神,哲学,感叹号,问号,句号,逗号,冒号,顿号
8005359738,381620,有没有会盲文的摸一下什么意思？,盲文,46,31,106,155,148,45,7,77,15,4,5,247,3,385,411,2492,4036,354,285
8703341221,350415,你只准备了5杯水，来了一亿个领导,领导,20,9,70,3655,23,11,1,160,8,7,3,10,2,265,476,1388,5600,339,72
3271413369,329729,回忆向：我在青龙山的日子,楼主,90,10,52,225,107,34,2,12,2,9,8,0,0,1663,728,2236,3104,502,56
8275662177,309197,指甲有竖纹怎么办？,影响,7,15,8,317,356,4,0,126,0,0,0,4,0,406,77,299,1412,9,8
8007810778,302074,只切一刀，如何把四个橘子平均分给四...,刀,17,19,218,72,32,13,1,128,0,23,0,4,0,321,410,846,4725,90,8
7708339765,292682,年度总结：弱吧2021年度306佳贴,大家,86,13,61,264,241,5,4,4,10,11,9,0,9,298,201,1198,1505,116,13
7745338919,275295,鸡柳是鸡身上哪个部位啊？,鸡,15,21,60,53,36,7357,0,45,9,0,2,2,1,183,600,681,2929,44,88
7712675997,263447,这两款香水哪一个比较好阿,香水,40,18,110,834,82,16,0,42,4,2,1,4,1,351,458,556,3515,34,21
8205391747,221787,有哪些违法行为是合法的,合法,66,25,28,90,79,3,1,89,11,17,2,35,1,139,177,1120,2498,308,148
8247531124,206466,弱智吧突击考试，共20题，每题5分...,老师,59,19,146,101,113,7,10,42,17,38,30,46,1,199,364,1115,2507,127,288
7361495496,186594,垃圾桶,诗,47,5,24,130,45,10,9,4,6,6,42,10,4,101,154,1073,2041,98,44
7573627431,178324,为什么不把房子盖成实心的，这样不是...,房子,8,7,174,97,65,1,2,23,4,34,4,0,1,61,293,252,1255,7,27
3618828725,170606,其实我不是弱智是个诗人！,屎,93,0,22,178,84,29,4,4,2,1,4,0,0,646,150,1038,1959,94,36
7331624254,169445,请用一句话证明你没有看到这句话,证明,10,10,58,89,81,7,9,56,5,8,3,39,4,73,538,661,1978,129,161
7240354818,158301,人会创造一个完全没有意义的詞吗？,意义,37,10,13,52,46,10,1352,65,55,1,0,26,12,85,213,398,1579,68,333
6112626355,156777,诗词王子,诗,33,17,14,117,20,11,7,3,4,0,23,0,0,101,96,632,1165,23,7
1021064238,148856,本吧暂停任何水贴,影响,2,0,1,120,114,0,0,0,0,0,0,0,0,33,6,150,414,9,14
8397119218,143340,兄弟们，没球拍了，同学把他的拍锁 ...,大家,28,21,37,134,155,2,1,13,0,2,0,3,0,332,190,381,1869,52,14
8379439324,141172,问一道数学问题,颜良,13,22,48,36,34,0,2,50,3,0,0,0,0,53,185,1429,1970,239,9
7783611553,139801,清明节上课的话算不算为自己的青春上坟？,大家,1,28,6,151,144,0,1,0,0,0,0,0,6,168,36,205,577,8,4
5610575189,136294,弱匚智吧神回复第四期。,水吧,3,2,5,104,101,0,0,4,0,1,0,1,0,26,25,110,385,4,2
7749756710,133557,每个人工作都是为了赚钱，那么谁在亏钱,钱,6,18,30,53,44,1,6,51,18,43,30,2,4,158,127,449,1818,45,70
6575162666,123706,本人医生，现是本吧志愿者,医生,58,15,297,91,10,3,8,97,13,8,3,7,0,117,680,160,2097,8,10
8517289644,121448,既然生锈的刀砍人会让人得破伤风，古...,刀,21,22,61,44,11,5,5,39,10,2,0,3,0,42,142,517,1636,54,50
4807530428,118967,弱智吧神回复第三期。,弱智,90,15,33,187,195,3,0,7,2,0,0,0,0,221,219,342,1091,34,174
7438761806,116649,这条蛇属于什么品种？,蛇,5,4,5,91,65,2,3,2,1,0,0,0,0,93,110,156,869,6,7
8440024233,107167,去美国坐飞机只要五分钟？,飞机,48,134,45,11,34,2,0,28,8,117,20,7,0,148,238,213,1436,48,5
3459351638,107093,论神经病的天才性（不定时更新）,楼主,36,0,34,81,21,11,1,5,2,0,0,0,2,240,157,693,1991,104,61
8776520324,105526,用一句话证明你没看过这句话！,证明,60,25,51,40,45,4,1,43,4,3,1,10,0,159,654,364,1398,85,17
8731872117,102870,我家旁边总是有条狗汪汪汪的一直叫,狗,1,5,9,59,63,1,1,8,2,0,0,0,2,11,24,102,323,9,6
3590595697,102416,严正声明：弱智吧不是搞笑段子吧，请...,弱智,132,26,25,86,52,0,0,7,4,4,0,4,0,99,178,421,598,96,5
7905658816,101948,如果我吃自己的屎，我是生产者还是消...,屎,36,43,11,16,12,6,5,38,18,3,7,6,1,79,79,415,1237,45,37
7555947704,96447,地球上有70亿人，为什么只有86w...,弱智,667,38,26,40,28,2,0,20,10,46,2,3,2,45,128,197,853,9,8
8242240079,91614,这该怎么吃啊,意思,12,21,31,42,39,1,0,11,1,2,0,0,0,149,209,133,1136,17,8
8359043912,90048,马上要上游泳课了,泳裤,18,9,50,203,23,0,0,30,0,0,7,6,0,69,177,446,1113,100,17
7711507383,82470,我花了500块做了个智商测试怎么测...,智商,11,10,8,38,39,1,0,13,0,0,0,0,0,21,68,77,414,2,0
